Date,State,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered
30-01-2020,Kerala,1,0,0,0,0,0
31-01-2020,Kerala,1,0,0,0,0,0
01-02-2020,Kerala,2,0,0,1,0,0
02-02-2020,Kerala,3,0,0,1,0,0
03-02-2020,Kerala,3,0,0,0,0,0
04-02-2020,Kerala,3,0,0,0,0,0
05-02-2020,Kerala,3,0,0,0,0,0
06-02-2020,Kerala,3,0,0,0,0,0
07-02-2020,Kerala,3,0,0,0,0,0
08-02-2020,Kerala,3,0,0,0,0,0
09-02-2020,Kerala,3,0,0,0,0,0
10-02-2020,Kerala,3,0,0,0,0,0
11-02-2020,Kerala,3,0,0,0,0,0
12-02-2020,Kerala,3,0,0,0,0,0
13-02-2020,Kerala,3,0,0,0,0,0
14-02-2020,Kerala,3,0,0,0,0,0
15-02-2020,Kerala,3,0,0,0,0,0
16-02-2020,Kerala,3,0,0,0,0,0
17-02-2020,Kerala,3,0,0,0,0,0
18-02-2020,Kerala,3,0,0,0,0,0
19-02-2020,Kerala,3,0,0,0,0,0
20-02-2020,Kerala,3,0,0,0,0,0
21-02-2020,Kerala,3,0,0,0,0,0
22-02-2020,Kerala,3,0,0,0,0,0
23-02-2020,Kerala,3,0,0,0,0,0
24-02-2020,Kerala,3,0,0,0,0,0
25-02-2020,Kerala,3,0,0,0,0,0
26-02-2020,Kerala,3,0,0,0,0,0
27-02-2020,Kerala,3,0,0,0,0,0
28-02-2020,Kerala,3,0,0,0,0,0
29-02-2020,Kerala,3,0,0,0,0,0
01-03-2020,Kerala,3,0,0,0,0,0
02-03-2020,Delhi,1,0,0,0,0,0
02-03-2020,Kerala,3,0,0,0,0,0
02-03-2020,Telengana,1,0,0,0,0,0
03-03-2020,Delhi,1,0,0,0,0,0
03-03-2020,Kerala,3,0,3,0,0,3
03-03-2020,Telengana,1,0,0,0,0,0
04-03-2020,Delhi,1,0,0,0,0,0
04-03-2020,Haryana,14,0,0,0,0,0
04-03-2020,Kerala,3,0,3,0,0,0
04-03-2020,Rajasthan,1,0,0,0,0,0
04-03-2020,Telengana,1,0,0,0,0,0
04-03-2020,Uttar Pradesh,6,0,0,0,0,0
05-03-2020,Delhi,2,0,0,1,0,0
05-03-2020,Haryana,14,0,0,0,0,0
05-03-2020,Kerala,3,0,3,0,0,0
05-03-2020,Rajasthan,1,0,0,0,0,0
05-03-2020,Telengana,1,0,0,0,0,0
05-03-2020,Uttar Pradesh,7,0,0,1,0,0
06-03-2020,Delhi,3,0,0,1,0,0
06-03-2020,Haryana,14,0,0,0,0,0
06-03-2020,Kerala,3,0,3,0,0,0
06-03-2020,Rajasthan,1,0,0,0,0,0
06-03-2020,Telengana,1,0,0,0,0,0
06-03-2020,Uttar Pradesh,7,0,0,0,0,0
07-03-2020,Delhi,3,0,0,0,0,0
07-03-2020,Haryana,14,0,0,0,0,0
07-03-2020,Kerala,3,0,3,0,0,0
07-03-2020,Rajasthan,1,0,0,0,0,0
07-03-2020,Tamil Nadu,1,0,0,0,0,0
07-03-2020,Telengana,1,0,0,0,0,0
07-03-2020,Union Territory of Ladakh,2,0,0,0,0,0
07-03-2020,Uttar Pradesh,7,0,0,0,0,0
08-03-2020,Delhi,3,0,0,0,0,0
08-03-2020,Haryana,14,0,0,0,0,0
08-03-2020,Kerala,8,0,3,5,0,0
08-03-2020,Rajasthan,1,0,0,0,0,0
08-03-2020,Tamil Nadu,1,0,0,0,0,0
08-03-2020,Telengana,1,0,0,0,0,0
08-03-2020,Union Territory of Ladakh,2,0,0,0,0,0
08-03-2020,Uttar Pradesh,7,0,0,0,0,0
09-03-2020,Delhi,4,0,0,1,0,0
09-03-2020,Haryana,14,0,0,0,0,0
09-03-2020,Karnataka,1,0,0,0,0,0
09-03-2020,Kerala,9,0,3,1,0,0
09-03-2020,Maharashtra,2,0,0,0,0,0
09-03-2020,Punjab,1,0,0,0,0,0
09-03-2020,Rajasthan,1,0,0,0,0,0
09-03-2020,Tamil Nadu,1,0,0,0,0,0
09-03-2020,Telengana,1,0,0,0,0,0
09-03-2020,Union Territory of Jammu and Kashmir,1,0,0,0,0,0
09-03-2020,Union Territory of Ladakh,2,0,0,0,0,0
09-03-2020,Uttar Pradesh,7,0,0,0,0,0
10-03-2020,Delhi,4,0,0,0,0,0
10-03-2020,Haryana,14,0,0,0,0,0
10-03-2020,Karnataka,4,0,0,3,0,0
10-03-2020,Kerala,15,0,3,6,0,0
10-03-2020,Maharashtra,5,0,0,3,0,0
10-03-2020,Punjab,1,0,0,0,0,0
10-03-2020,Rajasthan,1,0,0,0,0,0
10-03-2020,Tamil Nadu,1,0,0,0,0,0
10-03-2020,Telengana,1,0,0,0,0,0
10-03-2020,Union Territory of Jammu and Kashmir,1,0,0,0,0,0
10-03-2020,Union Territory of Ladakh,2,0,0,0,0,0
10-03-2020,Uttar Pradesh,7,0,0,0,0,0
11-03-2020,Delhi,5,0,0,1,0,0
11-03-2020,Haryana,14,0,0,0,0,0
11-03-2020,Karnataka,4,0,0,0,0,0
11-03-2020,Kerala,17,0,3,2,0,0
11-03-2020,Maharashtra,10,0,0,5,0,0
11-03-2020,Punjab,1,0,0,0,0,0
11-03-2020,Rajasthan,3,0,0,2,0,0
11-03-2020,Tamil Nadu,1,0,0,0,0,0
11-03-2020,Telengana,1,0,0,0,0,0
11-03-2020,Union Territory of Jammu and Kashmir,1,0,0,0,0,0
11-03-2020,Union Territory of Ladakh,2,0,0,0,0,0
11-03-2020,Uttar Pradesh,9,0,0,2,0,0
12-03-2020,Andhra Pradesh,1,0,0,0,0,0
12-03-2020,Delhi,6,0,0,1,0,0
12-03-2020,Haryana,14,0,0,0,0,0
12-03-2020,Karnataka,4,1,0,0,0,0
12-03-2020,Kerala,17,0,3,0,0,0
12-03-2020,Maharashtra,11,0,0,1,0,0
12-03-2020,Punjab,1,0,0,0,0,0
12-03-2020,Rajasthan,3,0,0,0,0,0
12-03-2020,Tamil Nadu,1,0,0,0,0,0
12-03-2020,Telengana,1,0,0,0,0,0
