State_Code,State,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased
AN,Andaman and Nicobar Islands,Nicobars,0,0,0,0,0,0,0,0,0
AN,Andaman and Nicobar Islands,North and Middle Andaman,1,0,1,0,0,0,0,0,0
AN,Andaman and Nicobar Islands,South Andaman,51,19,32,0,0,0,0,0,0
AP,Andhra Pradesh,Foreign Evacuees,434,0,434,0,0,0,0,0,0
AP,Andhra Pradesh,Anantapur,21173,6768,14263,142,0,1112,494,618,10
AP,Andhra Pradesh,Chittoor,14306,6215,7948,143,0,755,251,504,8
AP,Andhra Pradesh,East Godavari,27580,12583,14792,205,0,1351,973,378,10
AP,Andhra Pradesh,Guntur,19419,7224,12007,188,0,868,226,642,9
AP,Andhra Pradesh,Krishna,9042,3012,5832,198,0,363,57,306,6
AP,Andhra Pradesh,Kurnool,23348,9811,13314,223,0,1285,115,1170,2
AP,Andhra Pradesh,Other State,2461,0,2461,0,0,0,0,0,0
AP,Andhra Pradesh,Prakasam,7256,2846,4324,86,0,366,19,347,6
AP,Andhra Pradesh,S.P.S. Nellore,10705,5368,5263,74,0,788,169,619,6
AP,Andhra Pradesh,Srikakulam,9636,4297,5235,104,0,682,549,133,2
AP,Andhra Pradesh,Visakhapatnam,16682,9595,6940,147,0,781,85,696,4
AP,Andhra Pradesh,Vizianagaram,7468,4639,2757,72,0,575,388,187,3
AP,Andhra Pradesh,West Godavari,15786,3953,11716,117,0,798,208,590,3
AP,Andhra Pradesh,Y.S.R. Kadapa,11493,5855,5584,54,0,604,118,486,3
AR,Arunachal Pradesh,Anjaw,4,0,4,0,0,0,0,0,0
AR,Arunachal Pradesh,Changlang,269,147,122,0,0,2,2,0,0
AR,Arunachal Pradesh,East Kameng,57,39,18,0,0,8,1,7,0
AR,Arunachal Pradesh,East Siang,114,45,69,0,0,0,0,0,0
AR,Arunachal Pradesh,Kamle,1,0,1,0,0,0,0,0,0
AR,Arunachal Pradesh,Kra Daadi,0,0,0,0,0,0,0,0,0
AR,Arunachal Pradesh,Kurung Kumey,0,0,0,0,0,0,0,0,0
AR,Arunachal Pradesh,Lepa Rada,13,2,11,0,0,0,0,0,0
AR,Arunachal Pradesh,Lohit,55,38,17,0,0,10,10,0,0
AR,Arunachal Pradesh,Longding,14,6,8,0,0,0,0,0,0
